,Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating Produk,Kawasan,Kelas Harga
0,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.9,Luar JABODETABEK,Murah
1,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,JABODETABEK,Murah
2,"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,50,5.0,JABODETABEK,Mahal
3,Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,19,5.0,Luar JABODETABEK,Murah
4,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar JABODETABEK,Mahal
5,Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,JABODETABEK,Murah
6,Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,100,4.9,JABODETABEK,Murah
7,seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,JABODETABEK,Murah
8,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,100,5.0,JABODETABEK,Mahal
9,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.9,Luar JABODETABEK,Murah
10,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,JABODETABEK,Murah
11,"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,50,5.0,JABODETABEK,Mahal
12,Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,19,5.0,Luar JABODETABEK,Murah
13,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar JABODETABEK,Mahal
14,Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,JABODETABEK,Murah
15,Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,100,4.9,JABODETABEK,Murah
16,seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,JABODETABEK,Murah
17,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,100,5.0,JABODETABEK,Mahal
18,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.9,Luar JABODETABEK,Murah
19,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,JABODETABEK,Murah
20,"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,50,5.0,JABODETABEK,Mahal
21,Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,19,5.0,Luar JABODETABEK,Murah
