,trip_seconds
0,274
1,840
2,3
3,1320
4,283
5,285
6,643
7,1
8,22
9,557
10,567
11,1666
12,575
13,773
14,587
15,700
16,1209
17,1575
20,1574
21,846
22,100
23,463
24,1468
25,7
26,158
27,438
28,356
29,598
30,590
31,120
32,1213
33,924
34,1259
35,234
36,2114
37,672
38,403
39,1132
40,15
41,9
42,83
43,12
44,1066
45,403
46,990
47,6
48,429
49,656
50,249
51,271
52,1739
53,275
54,425
55,448
56,12
57,2
58,593
59,1544
60,291
61,1266
62,773
63,804
64,197
65,1248
66,460
67,625
68,1488
69,50
70,561
71,603
72,1075
73,1630
74,567
75,1922
76,1
77,334
78,2
79,1
80,986
81,406
82,4
83,1
84,2
85,3
86,276
87,251
88,1475
89,916
90,477
91,1658
92,3
93,1489
94,656
95,435
96,1702
97,270
98,465
99,827
100,12
101,4
102,1170
103,5
104,6
105,64
106,364
107,340
108,351
109,587
110,1142
111,1723
112,879
113,12
114,6
115,1176
116,481
117,379
118,245
119,267
120,1089
121,386
122,508
123,198
124,838
125,326
126,338
127,3
128,1163
130,618
131,406
132,1027
133,595
134,306
135,1271
136,780
137,789
138,178
139,972
140,922
141,982
142,327
143,1223
144,5
145,938
146,1316
147,524
148,0
149,436
150,196
151,1261
152,1006
153,639
154,386
155,390
156,39
157,1149
158,2371
159,1285
160,1
161,1619
162,1803
164,803
165,2
166,3
167,4
168,2
169,3
170,1277
171,658
172,2
173,3
174,836
175,1
176,662
177,25
178,1038
179,560
180,2262
181,699
182,700
184,237
185,1662
186,521
187,1380
188,1468
189,230
190,1
191,3
192,178
193,282
194,381
195,1
196,555
197,701
198,528
199,289
200,1129
201,436
202,701
203,624
204,653
205,200
206,295
207,197
208,521
209,235
210,1834
211,2
212,1655
213,267
214,741
215,9
216,21
217,2
218,963
219,573
220,270
221,69
222,569
223,464
224,691
225,964
226,635
227,496
228,1020
229,7
230,752
231,1
232,11
233,482
234,9
235,493
236,5
237,2
238,3
239,1
240,861
241,667
242,1046
243,9
244,132
245,962
246,582
247,418
248,800
250,9
251,253
252,1
253,523
254,0
255,974
256,471
257,0
258,1
259,836
260,11
261,80
262,364
263,412
264,249
265,733
266,650
267,1
268,713
269,3
270,1122
271,1
272,228
273,426
274,310
275,59
276,417
277,578
278,542
279,311
280,1
281,367
282,493
283,14
284,16
286,151
287,359
288,481
289,176
290,667
291,588
292,1027
293,1423
294,528
295,44
296,1252
297,1486
298,88
299,286
300,261
301,372
302,789
303,851
304,800
305,1004
306,1835
307,1411
308,1740
309,1373
310,1284
311,292
312,407
313,1869
314,1553
315,956
316,404
317,1202
318,86
319,1213
320,153
321,1
322,3
323,3
324,3
325,1
326,897
327,1468
328,478
329,916
330,19
331,263
332,3
333,516
334,1002
335,1310
336,302
337,598
338,248
339,263
340,473
341,435
342,203
343,365
344,325
345,182
346,398
347,187
348,443
349,578
350,923
351,1
352,699
353,712
354,542
355,447
356,778
357,765
358,562
359,448
360,652
361,1807
362,632
363,1924
364,3
365,476
366,373
367,3
368,1744
369,632
370,1657
371,386
372,1
373,1110
374,1
375,376
376,3
377,1016
378,713
379,67
380,209
381,0
382,1
383,1395
384,543
385,532
386,9
387,276
388,4
389,327
390,195
391,496
392,4
393,1
394,2
395,452
397,1449
398,554
399,747
400,316
401,450
402,867
403,277
404,2
405,562
406,1
407,1263
408,1159
409,1990
410,603
411,817
412,1799
413,379
414,328
415,276
416,787
417,528
418,1415
419,1209
420,508
421,716
422,602
423,47
424,472
425,1658
426,1530
427,685
428,19
429,1405
430,534
431,818
432,391
433,384
434,1184
435,2
436,927
437,396
438,2
439,1
440,396
441,406
442,300
443,307
444,235
445,775
446,792
447,631
448,770
449,40
450,454
451,395
452,282
453,646
454,1
455,938
456,405
457,727
458,187
459,198
460,277
461,210
462,259
463,168
464,953
465,424
466,750
467,2571
468,261
469,1399
470,1662
471,33
472,19
473,2
474,10
475,211
476,9
477,332
478,42
479,455
480,508
481,192
482,626
483,1677
484,1100
485,1922
486,556
487,640
488,587
489,173
490,304
491,395
492,889
493,584
494,441
495,1
496,592
497,469
498,46
